Gene stable ID	Gene % GC content	Gene name
ENSMUSG00000062783	43.64	Csprs
ENSMUSG00000096550	43.88	Gm16367
ENSMUSG00000096808	38.27	
ENSMUSG00000094172	44.37	
ENSMUSG00000094887	39.91	
ENSMUSG00000091585	43.13	
ENSMUSG00000095763	43.88	
ENSMUSG00000095250	47.75	
ENSMUSG00000095787	50.27	
ENSMUSG00000095523	43.94	
ENSMUSG00000096100	49.73	
ENSMUSG00000094054	48.48	
ENSMUSG00000095475	46.08	
ENSMUSG00000095672	47.84	
ENSMUSG00000094855	44.40	
ENSMUSG00000079190	43.84	
ENSMUSG00000094514	40.66	
ENSMUSG00002076890	50.51	
ENSMUSG00002074899	47.93	
ENSMUSG00000079800	44.73	
ENSMUSG00000095092	47.70	
ENSMUSG00000079192	46.26	
ENSMUSG00000079794	45.78	
ENSMUSG00000094799	47.65	
ENSMUSG00000100384	31.78	Gm28489
ENSMUSG00000100216	45.11	Gm21867
ENSMUSG00000099641	45.37	Gm29448
ENSMUSG00000100271	45.89	Gm21127
ENSMUSG00000099695	40.23	Gm28488
ENSMUSG00000095634	39.81	Gm20816
ENSMUSG00000100399	40.40	Gm28491
ENSMUSG00000101393	40.25	Gm29447
ENSMUSG00000100885	45.45	Gm29446
ENSMUSG00000101120	40.58	Gm29452
ENSMUSG00000101216	43.39	Gm29451
ENSMUSG00000100032	35.59	Gm20817
ENSMUSG00000094789	36.88	Gm28490
ENSMUSG00000101080	40.01	Gm28633
ENSMUSG00000094444	50.95	Gm21562
ENSMUSG00000100308	45.68	Gm29410
ENSMUSG00000101423	40.80	Gm28298
ENSMUSG00000095626	50.95	Gm21572
ENSMUSG00000101761	41.29	Gm28297
ENSMUSG00000101106	40.40	Gm28819
ENSMUSG00000099493	45.11	Gm21753
ENSMUSG00000096777	50.95	Gm21723
ENSMUSG00000102119	38.91	Gm28462
ENSMUSG00000101147	45.74	Gm20818
ENSMUSG00000101143	45.31	Gm21151
ENSMUSG00000100739	41.03	Gm28296
ENSMUSG00000095345	50.28	Gm21821
ENSMUSG00000102005	40.35	Gm29409
ENSMUSG00000101491	40.25	Gm28632
ENSMUSG00000100709	41.03	Gm28295
ENSMUSG00000095968	50.95	Gm21842
ENSMUSG00000100624	45.34	Gm28101
ENSMUSG00000101779	40.69	Gm28170
ENSMUSG00000094529	35.60	Gm21744
ENSMUSG00000102388	40.32	Gm33815
ENSMUSG00000102131	45.98	Gm21160
ENSMUSG00000101745	40.36	Gm28764
ENSMUSG00000094699	31.33	Gm28637
ENSMUSG00000100659	43.68	Gm28636
ENSMUSG00000101254	45.24	Gm20932
ENSMUSG00000100957	40.41	Gm28762
ENSMUSG00000100976	31.13	Gm29134
ENSMUSG00000099756	44.97	Gm28763
ENSMUSG00000100489	44.04	Gm28303
ENSMUSG00000101239	40.71	Gm28304
ENSMUSG00000100971	45.19	Gm28824
ENSMUSG00000099555	40.22	Gm28081
ENSMUSG00000101369	46.68	Gm28080
ENSMUSG00000101096	45.98	Gm21524
ENSMUSG00000095263	36.87	Gm21094
ENSMUSG00000096272	50.76	Gm21588
ENSMUSG00000099426	40.76	Gm28761
ENSMUSG00000096711	50.95	Gm21599
ENSMUSG00000101728	41.25	Gm28765
ENSMUSG00000100509	45.11	Gm21810
ENSMUSG00000095553	50.95	Gm21916
ENSMUSG00000099550	40.34	Gm28079
ENSMUSG00000102065	45.19	Gm28302
ENSMUSG00000101099	40.77	Gm29191
ENSMUSG00000100278	40.38	Gm28082
ENSMUSG00000095049	35.76	Gm21756
ENSMUSG00000100692	45.11	Gm21672
ENSMUSG00000101601	45.41	Gm28210
ENSMUSG00000099530	37.17	Gm29644
ENSMUSG00000101516	40.44	Gm29074
ENSMUSG00000101359	31.76	Gm28211
ENSMUSG00000094052	39.92	Gm21118
ENSMUSG00000100790	40.39	Gm28518
ENSMUSG00000101302	40.46	Gm28519
ENSMUSG00000102125	40.46	Gm28520
ENSMUSG00000101725	40.29	Gm29423
ENSMUSG00000099948	45.11	Gm29424
ENSMUSG00000104442	44.46	4932431L22Rik
ENSMUSG00000101440	40.04	Gm29425
ENSMUSG00000095011	36.85	Gm20838
ENSMUSG00000094616	35.56	Gm20888
ENSMUSG00000094064	50.95	Gm21626
ENSMUSG00000100653	42.34	Gm28238
ENSMUSG00000101421	40.63	Gm28433
ENSMUSG00000099461	40.72	Gm28521
ENSMUSG00000101706	45.32	Gm28431
ENSMUSG00000096532	50.95	Gm21633
ENSMUSG00000101627	40.29	Gm28432
ENSMUSG00000101852	45.31	Gm20886
ENSMUSG00000101681	41.25	Gm28522
ENSMUSG00000099438	45.83	Gm21808
ENSMUSG00000101870	45.11	Gm21745
ENSMUSG00000101472	50.95	Gm28517
ENSMUSG00000101407	40.80	Gm29532
ENSMUSG00000099500	50.95	Gm29531
ENSMUSG00000101786	40.22	Gm28840
ENSMUSG00000100097	41.03	Gm28464
ENSMUSG00000099806	44.89	Gm28841
ENSMUSG00000101474	50.95	Gm29656
ENSMUSG00000099704	39.97	Gm28842
ENSMUSG00000101383	35.29	Gm28843
ENSMUSG00000099737	40.86	Gm29655
ENSMUSG00000099914	43.53	Gm28837
ENSMUSG00000101417	37.44	Gm21647
ENSMUSG00000101654	45.64	Gm29653
ENSMUSG00000099369	40.00	Gm28838
ENSMUSG00000101808	45.37	Gm29654
ENSMUSG00000101893	45.19	Gm28839
ENSMUSG00000099910	45.77	Gm29651
ENSMUSG00000100442	45.26	Gm20866
ENSMUSG00000101518	46.03	Gm20868
ENSMUSG00000099818	45.37	Gm29652
ENSMUSG00000100500	38.90	Gm29080
ENSMUSG00000100677	45.74	Gm21184
ENSMUSG00000100171	45.17	Gm21201
ENSMUSG00000101374	40.33	Gm28844
ENSMUSG00000101255	45.55	Gm21841
ENSMUSG00000099463	40.11	Gm29081
ENSMUSG00000101713	40.09	Gm28668
ENSMUSG00000100745	45.43	Gm29077
ENSMUSG00000101341	45.48	Gm29076
ENSMUSG00000099531	35.56	Gm20869
ENSMUSG00000100193	45.37	Gm29079
ENSMUSG00000100008	40.32	Gm28481
ENSMUSG00000099651	39.05	Gm29078
ENSMUSG00000101134	39.80	Gm28482
ENSMUSG00000101787	45.89	Gm20853
ENSMUSG00000100537	40.37	Gm28485
ENSMUSG00000101043	45.11	Gm29075
ENSMUSG00000100535	35.52	Gm20870
ENSMUSG00000099390	40.24	Gm29225
ENSMUSG00000099738	43.10	Gm28483
ENSMUSG00000100422	45.25	Gm29226
ENSMUSG00000101988	40.38	Gm28484
ENSMUSG00000100385	40.95	Gm29227
ENSMUSG00000101336	48.34	Gm28480
ENSMUSG00000100064	43.53	Gm28339
ENSMUSG00000101593	45.69	Gm20842
ENSMUSG00000095793	35.62	Gm20855
ENSMUSG00000101444	40.40	Gm29179
ENSMUSG00000099733	45.11	Gm21880
ENSMUSG00000101339	40.63	Gm29180
ENSMUSG00000101626	39.96	Gm29386
ENSMUSG00000099731	43.68	Gm29181
ENSMUSG00000101091	45.46	Gm29384
ENSMUSG00000100229	44.97	Gm21896
ENSMUSG00000101691	45.20	Gm29280
ENSMUSG00000100540	45.83	Gm20799
ENSMUSG00000100244	45.26	Gm29279
ENSMUSG00000096902	35.55	Gm20843
ENSMUSG00000100694	40.29	Gm29182
ENSMUSG00000099799	40.00	Gm28260
ENSMUSG00000099999	45.40	Gm21795
ENSMUSG00000101844	46.64	Gm20844
ENSMUSG00000101806	45.04	Gm28261
ENSMUSG00000101632	39.14	Gm28264
ENSMUSG00000099525	46.61	Gm21872
ENSMUSG00000100749	44.97	Gm20798
ENSMUSG00000099963	40.31	Gm28463
ENSMUSG00000100898	40.36	Gm29178
ENSMUSG00000100299	43.53	Gm28584
ENSMUSG00000101857	45.40	Gm21757
ENSMUSG00000101127	34.31	Gm28585
ENSMUSG00000101836	43.53	Gm28968
ENSMUSG00000102008	40.32	Gm28495
ENSMUSG00000100869	45.45	Gm20846
ENSMUSG00000101277	46.61	Gm20847
ENSMUSG00000099371	46.61	Gm20848
ENSMUSG00000102129	40.45	Gm28969
ENSMUSG00000100359	45.40	Gm21766
ENSMUSG00000099495	45.45	Gm20800
ENSMUSG00000101747	46.46	Gm21683
ENSMUSG00000096650	35.53	Gm20896
ENSMUSG00000102058	40.01	Gm28470
ENSMUSG00000100034	45.46	Gm28469
ENSMUSG00000099589	45.26	Gm21898
ENSMUSG00000100263	45.20	Gm28468
ENSMUSG00000100379	40.34	Gm28677
ENSMUSG00000101575	45.89	Gm20898
ENSMUSG00000101715	45.55	Gm21855
ENSMUSG00000100785	45.26	Gm29333
ENSMUSG00000101425	40.10	Gm29255
ENSMUSG00000100698	45.55	Gm20902
ENSMUSG00000099822	40.27	Gm28332
ENSMUSG00000099547	45.11	Gm28678
ENSMUSG00000101781	45.16	Gm28333
ENSMUSG00000101271	40.32	Gm28334
ENSMUSG00000099504	43.53	Gm28335
ENSMUSG00000099782	35.56	Gm20903
ENSMUSG00000101377	45.41	Gm28336
ENSMUSG00000101038	43.68	Gm28272
ENSMUSG00000101709	35.30	Gm28337
ENSMUSG00000100604	40.71	Gm29256
ENSMUSG00000099554	40.25	Gm28259
ENSMUSG00000099814	40.03	Gm28338
ENSMUSG00000101757	45.32	Gm28273
ENSMUSG00000100316	43.82	Gm28812
ENSMUSG00000101284	34.51	Gm28811
ENSMUSG00000100179	46.11	Gm21715
ENSMUSG00000100651	45.41	Gm28810
ENSMUSG00000101933	35.58	Gm20835
ENSMUSG00000100647	40.05	Gm29027
ENSMUSG00000101815	45.38	Gm29028
ENSMUSG00000099685	40.31	Gm29617
ENSMUSG00000101538	45.11	Gm29029
ENSMUSG00000100251	45.19	Gm29615
ENSMUSG00000100983	45.37	Gm29030
ENSMUSG00000101774	40.38	Gm29616
ENSMUSG00000101820	35.63	Gm29023
ENSMUSG00000100283	45.69	Gm29024
ENSMUSG00000099883	45.10	Gm21784
ENSMUSG00000099832	45.43	Gm29025
ENSMUSG00000100363	45.69	Gm20805
ENSMUSG00000101246	40.63	Gm29026
ENSMUSG00000100276	45.20	Gm29618
ENSMUSG00000101382	45.37	Gm28213
ENSMUSG00000101318	45.26	Gm29109
ENSMUSG00000099967	39.26	Gm28212
ENSMUSG00000100805	40.01	Gm29108
ENSMUSG00000101161	45.69	Gm21799
ENSMUSG00000100705	43.82	Gm28227
ENSMUSG00000101528	35.49	Gm29110
ENSMUSG00000099661	43.68	Gm28781
ENSMUSG00000101157	35.59	Gm20905
ENSMUSG00000099712	45.11	Gm29411
ENSMUSG00000094507	43.03	Gm21913
ENSMUSG00000100115	39.23	Gm28174
ENSMUSG00000099586	45.37	Gm28222
ENSMUSG00002075716	42.59	5S_rRNA
ENSMUSG00000100066	45.69	Gm21835
ENSMUSG00000101881	45.11	Gm21076
ENSMUSG00000101879	40.27	Gm28820
ENSMUSG00000101218	39.82	Gm29416
ENSMUSG00000099412	40.00	Gm28223
ENSMUSG00002075673	42.59	5S_rRNA
ENSMUSG00000101831	43.53	Gm29412
ENSMUSG00000101128	44.68	Gm21869
ENSMUSG00000101788	45.96	Gm20813
ENSMUSG00000100428	35.27	Gm29413
ENSMUSG00000102087	45.20	Gm28790
ENSMUSG00000099601	45.38	Gm29671
ENSMUSG00000101704	44.97	Gm21878
ENSMUSG00000101428	44.83	Gm29272
ENSMUSG00000101349	45.04	Gm28162
ENSMUSG00000100140	40.09	Gm28789
ENSMUSG00000101710	45.69	Gm20922
ENSMUSG00000094575	39.70	Gm20738
ENSMUSG00000101146	35.54	Gm20814
ENSMUSG00000099499	43.82	Gm28787
ENSMUSG00000101213	40.27	Gm28788
ENSMUSG00000100952	40.17	Gm28545
ENSMUSG00000099730	45.29	Gm28547
ENSMUSG00000099896	40.35	Gm29278
ENSMUSG00000101873	45.37	Gm28546
ENSMUSG00000101980	45.87	Gm21922
ENSMUSG00000100203	45.55	Gm21924
ENSMUSG00000100669	45.83	Gm21111
ENSMUSG00000099460	45.26	Gm21735
ENSMUSG00000100260	45.20	Gm28608
ENSMUSG00000100675	43.36	Gm28607
ENSMUSG00000099807	40.20	Gm28771
ENSMUSG00000101435	45.47	Gm28772
ENSMUSG00000100544	40.09	Gm28606
ENSMUSG00000100883	43.82	Gm28773
ENSMUSG00000100902	35.53	Gm20850
ENSMUSG00000100892	35.58	Gm20897
ENSMUSG00000100673	43.68	Gm29574
ENSMUSG00000101050	40.24	Gm28774
ENSMUSG00000102025	40.63	Gm29575
ENSMUSG00000099793	45.28	Gm28775
ENSMUSG00000099944	45.11	Gm21875
ENSMUSG00000100226	45.69	Gm20904
ENSMUSG00000100699	45.26	Gm21765
ENSMUSG00000096438	55.19	Gapdh-ps15
ENSMUSG00000101957	44.40	Gm29576
ENSMUSG00000101071	45.17	Gm29577
ENSMUSG00000099351	45.37	Gm28776
ENSMUSG00000099489	45.74	Gm21787
ENSMUSG00000099425	35.54	Gm29573
ENSMUSG00000100845	45.17	Gm28770
ENSMUSG00000101020	43.61	Gm28377
ENSMUSG00000096275	35.50	Gm20901
ENSMUSG00000094404	42.94	Gm21776
ENSMUSG00000101408	45.31	Gm21155
ENSMUSG00000101771	40.65	Gm28176
ENSMUSG00000100719	50.76	Gm28786
ENSMUSG00000100643	45.74	Gm21163
ENSMUSG00000101898	45.37	Gm28122
ENSMUSG00000101740	41.32	Gm29360
ENSMUSG00000100050	42.77	Gm28121
ENSMUSG00000101292	45.60	Gm29496
ENSMUSG00000100588	40.49	Gm29497
ENSMUSG00000100708	35.59	Gm21173
ENSMUSG00000102050	43.00	Gm29499
ENSMUSG00000101238	43.39	Gm28123
ENSMUSG00000100406	40.32	Gm28120
ENSMUSG00000099526	40.28	Gm29313
ENSMUSG00000101040	41.18	Gm29498
ENSMUSG00000100560	45.26	Gm21180
ENSMUSG00000101272	50.00	Gm36782
ENSMUSG00000101478	45.74	Gm20859
ENSMUSG00000101633	50.00	Gm29839
ENSMUSG00000101283	45.37	Gm29314
ENSMUSG00000101727	35.59	Gm29495
ENSMUSG00000100907	44.83	Gm29310
ENSMUSG00000101124	44.89	Gm28371
ENSMUSG00000101960	40.65	Gm29311
ENSMUSG00000099723	39.39	Gm28595
ENSMUSG00000095179	35.58	Gm21638
ENSMUSG00000104381	39.29	Gm37032
ENSMUSG00000101917	43.53	Gm29312
ENSMUSG00000101205	40.32	Gm29308
ENSMUSG00000100526	45.54	Gm29309
ENSMUSG00000101785	40.67	Gm28702
ENSMUSG00000100149	40.49	Gm28701
ENSMUSG00000101602	34.33	Gm28700
ENSMUSG00000093895	35.63	Gm21865
ENSMUSG00000099953	43.53	Gm28699
ENSMUSG00000100043	39.76	Gm29433
ENSMUSG00000102032	40.00	Gm28705
ENSMUSG00000099786	40.40	Gm29215
ENSMUSG00000100823	45.38	Gm28704
ENSMUSG00000094354	44.14	Gm21882
ENSMUSG00000095725	50.95	Gm21801
ENSMUSG00000099416	40.36	Gm28540
ENSMUSG00000100900	40.55	Gm28850
ENSMUSG00000095433	50.95	Gm21914
ENSMUSG00000094647	35.61	Gm21650
ENSMUSG00000100508	41.01	Gm28617
ENSMUSG00000099646	34.51	Gm28541
ENSMUSG00000100771	43.92	Gm28618
ENSMUSG00000101090	40.49	Gm28619
ENSMUSG00000099535	43.53	Gm28542
ENSMUSG00000099606	40.63	Gm28537
ENSMUSG00000100063	45.42	Gm28538
ENSMUSG00000100644	45.83	Gm20793
ENSMUSG00002075449	61.82	
ENSMUSG00002074974	61.82	
ENSMUSG00000100722	40.20	Gm29569
ENSMUSG00000096898	39.75	Gm20867
ENSMUSG00000099379	40.28	Gm28993
ENSMUSG00000101017	45.69	Gm21658
ENSMUSG00000100070	40.52	Gm28994
ENSMUSG00000100366	38.85	Gm29568
ENSMUSG00000096885	47.33	Gm21797
ENSMUSG00000100888	44.88	Gm29567
ENSMUSG00000100433	45.11	Gm21198
ENSMUSG00000102111	39.39	Gm29566
ENSMUSG00000101060	40.09	Gm29565
ENSMUSG00000099792	35.51	Gm29564
ENSMUSG00000099497	40.63	Gm29147
ENSMUSG00000099479	45.45	Gm29146
ENSMUSG00000101115	39.70	Gm28664
ENSMUSG00000100849	40.24	Gm28663
ENSMUSG00000095452	40.81	Gm20795
ENSMUSG00000101194	44.97	Gm29149
ENSMUSG00000100797	43.97	Gm28596
ENSMUSG00000099742	41.07	Gm29148
ENSMUSG00000099645	36.58	Gm20832
ENSMUSG00000100999	45.39	Gm29145
ENSMUSG00000101562	42.77	Gm29144
ENSMUSG00000100091	36.93	Gm28597
ENSMUSG00000101321	41.87	Gm28817
ENSMUSG00000100649	43.62	Gm28428
ENSMUSG00000100328	40.29	Gm28816
ENSMUSG00000100196	45.40	Gm20827
ENSMUSG00000101098	45.17	Gm20808
ENSMUSG00000099628	45.34	Gm28427
ENSMUSG00000096120	46.78	Gm21800
ENSMUSG00000094739	40.15	Gm20806
ENSMUSG00000099897	40.72	Gm28426
ENSMUSG00000102071	45.04	Gm28815
ENSMUSG00000100741	45.40	Gm28814
ENSMUSG00000099785	41.13	Gm28425
ENSMUSG00000094071	35.53	Gm21729
ENSMUSG00000101804	39.93	Gm28813
ENSMUSG00000101536	41.20	Gm28834
ENSMUSG00000099621	45.26	Gm20919
ENSMUSG00000099652	43.11	Gm28833
ENSMUSG00000100737	45.11	Gm21774
ENSMUSG00000095867	40.19	Gm20917
ENSMUSG00000100784	38.89	Gm28421
ENSMUSG00000099780	40.35	Gm29537
ENSMUSG00000101044	45.04	Gm28420
ENSMUSG00000099849	40.33	Gm29274
ENSMUSG00000099670	45.11	Gm28423
ENSMUSG00000100822	40.28	Gm29275
ENSMUSG00000099636	39.99	Gm28422
ENSMUSG00000101471	36.71	Gm29276
ENSMUSG00000101455	45.11	Gm21805
ENSMUSG00000094746	35.63	Gm20916
ENSMUSG00000099700	50.95	Gm29645
ENSMUSG00000100494	43.68	Gm29033
ENSMUSG00000101811	50.95	Gm28312
ENSMUSG00000101118	40.95	Gm29034
ENSMUSG00000099833	35.57	Gm29165
ENSMUSG00000101748	45.11	Gm21823
ENSMUSG00000101259	45.83	Gm21242
ENSMUSG00000101247	45.64	Gm29042
ENSMUSG00000100610	44.79	Gm29031
ENSMUSG00000099408	40.19	Gm28311
ENSMUSG00000101197	45.34	Gm29032
ENSMUSG00000101207	40.36	Gm28310
ENSMUSG00000102016	40.27	Gm29606
ENSMUSG00000099542	36.69	Gm28504
ENSMUSG00000101340	44.97	Gm29607
ENSMUSG00000100107	45.60	Gm28567
ENSMUSG00000099972	45.98	Gm21248
ENSMUSG00000100051	40.51	Gm28568
ENSMUSG00000101733	45.04	Gm29189
ENSMUSG00000102019	45.11	Gm21873
ENSMUSG00000099977	41.23	Gm29286
ENSMUSG00000101465	40.09	Gm29190
ENSMUSG00000099415	50.57	Gm29285
ENSMUSG00000100953	40.78	Gm28280
ENSMUSG00000096332	35.66	Gm21241
ENSMUSG00000095578	35.53	Gm21760
ENSMUSG00000099734	43.39	Gm28159
ENSMUSG00000100693	40.15	Gm28278
ENSMUSG00000100723	40.63	Gm28160
ENSMUSG00000101981	45.42	Gm28157
ENSMUSG00000099638	40.40	Gm28279
ENSMUSG00000100148	44.97	Gm28158
ENSMUSG00000100756	45.83	Gm21257
ENSMUSG00000099805	44.79	Gm28161
ENSMUSG00000101070	45.34	Gm28695
ENSMUSG00000100286	45.48	Gm28696
ENSMUSG00000094181	36.72	Gm21739
ENSMUSG00000101833	45.17	Gm20791
ENSMUSG00000102081	50.95	Gm28886
ENSMUSG00000101688	45.83	Gm20841
ENSMUSG00000099679	45.20	Gm28899
ENSMUSG00000102031	41.20	Gm29426
ENSMUSG00000099677	45.11	Gm21722
ENSMUSG00000100925	45.36	Gm28898
ENSMUSG00000100408	42.98	Gm28885
ENSMUSG00000100991	44.97	Gm21856
ENSMUSG00000102116	39.00	Gm28887
ENSMUSG00000099740	35.39	Gm28897
ENSMUSG00000101637	43.53	Gm28896
ENSMUSG00000101649	40.28	Gm29444
ENSMUSG00000100245	45.11	Gm21282
ENSMUSG00000095353	45.11	Gm21783
ENSMUSG00000100469	45.55	Gm28895
ENSMUSG00000101802	40.61	Gm29445
ENSMUSG00000100821	45.20	Gm28894
ENSMUSG00000101058	44.97	Gm21829
ENSMUSG00000099790	40.38	Gm28457
ENSMUSG00000100187	39.84	Gm29324
ENSMUSG00000101594	45.11	Gm21779
ENSMUSG00000099894	35.51	Gm20911
ENSMUSG00000100125	43.53	Gm28739
ENSMUSG00000101962	40.21	Gm28741
ENSMUSG00000100978	45.45	Gm20912
ENSMUSG00000100519	46.46	Gm20801
ENSMUSG00000100598	45.37	Gm28742
ENSMUSG00000100011	40.61	Gm28458
ENSMUSG00000100591	45.40	Gm21919
ENSMUSG00000100879	45.27	Gm28743
ENSMUSG00000100974	44.83	Gm28459
ENSMUSG00000101675	50.95	Gm28461
ENSMUSG00000099480	39.95	Gm28124
ENSMUSG00000101914	45.31	Gm21790
ENSMUSG00000099834	45.90	Gm21728
ENSMUSG00000100499	41.04	Gm28460
ENSMUSG00000100298	38.89	Gm28126
ENSMUSG00000100256	50.95	Gm28851
ENSMUSG00000101201	45.20	Gm28125
ENSMUSG00000101003	40.78	Gm28456
ENSMUSG00000100438	44.97	Gm21825
ENSMUSG00000100640	35.57	Gm29073
ENSMUSG00000100628	36.43	Gm29648
ENSMUSG00000100989	36.70	Gm29647
ENSMUSG00000101286	35.60	Gm21317
ENSMUSG00000100268	43.53	Gm29468
ENSMUSG00000100003	40.32	Gm29646
ENSMUSG00000101343	40.63	Gm29469
ENSMUSG00000101907	45.22	Gm29472
ENSMUSG00000099462	40.12	Gm28549
ENSMUSG00000100035	40.32	Gm29473
ENSMUSG00000101434	35.58	Gm29211
ENSMUSG00000101072	44.54	Gm29470
ENSMUSG00000100061	45.53	Gm29212
ENSMUSG00000100994	45.83	Gm21333
ENSMUSG00000100611	45.74	Gm21247
ENSMUSG00000100861	44.88	Gm29382
ENSMUSG00000100317	45.34	Gm28224
ENSMUSG00000101138	40.78	Gm29210
ENSMUSG00000101329	45.36	Gm28226
ENSMUSG00000100871	50.95	Gm29213
ENSMUSG00000100532	40.28	Gm28225
ENSMUSG00000100716	41.04	Gm28550
ENSMUSG00000099374	45.17	Gm21344
ENSMUSG00000100325	50.95	Gm28604
ENSMUSG00000100882	45.69	Gm20849
ENSMUSG00000100048	44.83	Gm28603
ENSMUSG00000101772	45.20	Gm28829
ENSMUSG00000099667	44.83	Gm21901
ENSMUSG00000099789	41.25	Gm28565
ENSMUSG00000099593	50.95	Gm28566
ENSMUSG00000099925	35.53	Gm28827
ENSMUSG00000101109	40.89	Gm28697
ENSMUSG00000101582	43.53	Gm28828
ENSMUSG00000101541	50.95	Gm28554
ENSMUSG00000101273	40.32	Gm28831
ENSMUSG00000101508	40.43	Gm28832
ENSMUSG00000100339	45.11	Gm21864
ENSMUSG00000094782	36.89	Gm21256
ENSMUSG00000099546	45.69	Gm21802
ENSMUSG00000101884	45.37	Gm28658
ENSMUSG00000100906	45.18	Gm29238
ENSMUSG00000100852	40.43	Gm29056
ENSMUSG00000100092	36.06	Gm21088
ENSMUSG00000100284	43.68	Gm29239
ENSMUSG00000099532	40.33	Gm29098
ENSMUSG00002075613	42.59	5S_rRNA
ENSMUSG00000118466	35.23	Gm21170
ENSMUSG00000100986	44.83	Gm21741
ENSMUSG00000102054	40.20	Gm29373
ENSMUSG00000101718	45.83	Gm20862
ENSMUSG00002076259	42.59	5S_rRNA
ENSMUSG00000101131	50.95	Gm29370
ENSMUSG00000099736	45.11	Gm20863
ENSMUSG00000099339	45.11	Gm21751
ENSMUSG00000101657	45.69	Gm20864
ENSMUSG00000100740	45.20	Gm29476
ENSMUSG00000099674	41.22	Gm29166
ENSMUSG00000100718	45.11	Gm21717
ENSMUSG00000101069	50.95	Gm28194
ENSMUSG00000100407	40.09	Gm28472
ENSMUSG00000101653	36.88	Gm20792
ENSMUSG00000100423	40.47	Gm28754
ENSMUSG00000095153	35.54	Gm21095
ENSMUSG00000100946	43.39	Gm28473
ENSMUSG00000100023	40.36	Gm28753
ENSMUSG00000101851	40.32	Gm28474
ENSMUSG00000099915	35.71	Gm21191
ENSMUSG00000100086	45.31	Gm21271
ENSMUSG00000100531	40.35	Gm28475
ENSMUSG00000099483	44.97	Gm28476
ENSMUSG00000101310	45.74	Gm21281
ENSMUSG00000101742	45.98	Gm21380
ENSMUSG00000100646	45.20	Gm28193
ENSMUSG00000100024	45.72	Gm21782
ENSMUSG00000101200	45.85	Gm20802
ENSMUSG00000099903	40.09	Gm29070
ENSMUSG00000094660	40.20	Gm21394
ENSMUSG00000101052	45.37	Gm28471
ENSMUSG00000100881	45.26	Gm21824
ENSMUSG00000101160	40.06	Gm29338
ENSMUSG00000100972	35.58	Gm28553
ENSMUSG00000099409	43.39	Gm28751
ENSMUSG00000099522	40.32	Gm28752
ENSMUSG00000099840	35.52	Gm21409
ENSMUSG00000100951	43.68	Gm29339
