	Gene name	Gene % GC content
ENSMUSG00000000738	Spg7	48.71
ENSMUSG00000000739	Sult5a1	49.92
ENSMUSG00000000740	Rpl13	54.34
ENSMUSG00000000743	Chmp1a	53.56
ENSMUSG00000000751	Rpa1	44.89
ENSMUSG00000000753	Serpinf1	49.44
ENSMUSG00000000759	Tubgcp3	46.98
ENSMUSG00000000766	Oprm1	40.52
ENSMUSG00000000776	Polr3d	51.78
ENSMUSG00000000782	Tcf7	53.06
ENSMUSG00000000787	Ddx3x	39.75
ENSMUSG00000000791	Il12rb1	52.9
ENSMUSG00000000792	Slc5a5	54.85
ENSMUSG00000000794	Kcnn3	48.56
ENSMUSG00000000804	Usp32	39.1
ENSMUSG00000000805	Car4	52.03
ENSMUSG00000000811	Txnrd3	47.25
ENSMUSG00000000817	Fasl	41.71
ENSMUSG00000000823	Zfp512b	53.58
ENSMUSG00000000826	Dnajc5	42.98
ENSMUSG00000000827	Tpd52l2	44.51
ENSMUSG00000000838	Fmr1	35.06
ENSMUSG00000000861	Bcl11a	45.53
ENSMUSG00000000869	Il4	47.09
ENSMUSG00000000876	Pxmp4	47.38
ENSMUSG00000000881	Dlg3	46.89
ENSMUSG00000000884	Gnb1l	47.73
ENSMUSG00000000889	Dbh	51.66
ENSMUSG00000000901	Mmp11	53.54
ENSMUSG00000000902	Smarcb1	48.04
ENSMUSG00000000903	Vpreb3	47.86
ENSMUSG00000000915	Hip1r	54.59
ENSMUSG00000000916	Nsun5	51.36
ENSMUSG00000000934	Top1mt	52.57
ENSMUSG00000000938	Hoxa10	50.46
ENSMUSG00000000942	Hoxa4	57.27
ENSMUSG00000000948	Gm38393	35.42
ENSMUSG00000000957	Mmp14	53.13
ENSMUSG00000000958	Slc7a7	47.12
ENSMUSG00000000959	Oxa1l	47.94
ENSMUSG00000000976	Heatr6	45.93
ENSMUSG00000000982	Ccl3	46.3
ENSMUSG00000000983	Wfdc18	45.84
ENSMUSG00000001014	Icam4	58.3
ENSMUSG00000001016	Ilf2	42.32
ENSMUSG00000001017	Chtop	42.19
ENSMUSG00000001018	Snapin	45.35
ENSMUSG00000001020	S100a4	48.53
ENSMUSG00000001021	S100a3	49.07
ENSMUSG00000001023	S100a5	50.12
ENSMUSG00000001025	S100a6	47.42
ENSMUSG00000001027	Scn4a	51.42
ENSMUSG00000001029	Icam2	48.84
ENSMUSG00000001034	Mapk7	54.78
ENSMUSG00000001036	Epn2	45.69
ENSMUSG00000001039	B9d1	48.78
ENSMUSG00000001052	Sec24b	44.2
ENSMUSG00000001053	N4bp3	56.75
ENSMUSG00000001054	Rmnd5b	50.38
ENSMUSG00000001056	Nhp2	50.38
ENSMUSG00000001062	Vps9d1	54.85
ENSMUSG00000001065	Zfp276	51.54
ENSMUSG00000001076	C1ql4	53.48
ENSMUSG00000001082	Mfsd10	57.97
ENSMUSG00000001089	Luzp1	40.42
ENSMUSG00000001095	Slc13a2	49.99
ENSMUSG00000001098	Kctd10	54.26
ENSMUSG00000001100	Poldip2	48.81
ENSMUSG00000001103	Sebox	53.39
ENSMUSG00000001105	Ift20	47.18
ENSMUSG00000001119	Col6a1	54.16
ENSMUSG00000001120	Pcbp3	45.07
ENSMUSG00000001123	Lgals9	48.47
ENSMUSG00000001127	Araf	42.71
ENSMUSG00000001128	Cfp	47.82
ENSMUSG00000001131	Timp1	46.96
ENSMUSG00000001134	Uxt	42.12
ENSMUSG00000001138	Cnnm3	52.74
ENSMUSG00000001143	Lman2l	47.29
ENSMUSG00000001150	Mcm3ap	45.98
ENSMUSG00000001151	Pcnt	47.6
ENSMUSG00000001155	Ftcd	50.1
ENSMUSG00000001156	Mxd1	48.43
ENSMUSG00000001157	Gmcl1	43.35
ENSMUSG00000001158	Snrnp27	43.33
ENSMUSG00000001166	Oas1c	50.26
ENSMUSG00000001168	Oas1h	48.44
ENSMUSG00000001173	Ocrl	42.0
ENSMUSG00000001175	Calm1	47.93
ENSMUSG00000001211	Agpat3	50.47
ENSMUSG00000001225	Slc26a3	42.02
ENSMUSG00000001227	Sema6b	56.44
ENSMUSG00000001228	Uhrf1	52.44
ENSMUSG00000001229	Dpp9	54.17
ENSMUSG00000001240	Ramp2	48.62
ENSMUSG00000001247	Lsr	50.38
ENSMUSG00000001248	Gramd1a	52.22
ENSMUSG00000001249	Hpn	51.94
ENSMUSG00000001260	Gabrg1	35.86
ENSMUSG00000001270	Ckb	61.92
ENSMUSG00000001280	Sp1	42.07
ENSMUSG00000001281	Itgb7	49.54
ENSMUSG00000001285	Myg1	49.42
ENSMUSG00000001288	Rarg	53.53
ENSMUSG00000001289	Pfdn5	47.43
ENSMUSG00000001300	Efnb2	45.21
ENSMUSG00000001305	Rrp15	45.2
ENSMUSG00000001313	Rnd2	54.98
ENSMUSG00000001323	Srr	43.41
ENSMUSG00000001333	Sync	47.2
ENSMUSG00000001334	Fndc5	53.06
ENSMUSG00000001348	Acp5	52.33
ENSMUSG00000001349	Cnn1	51.99
ENSMUSG00000001366	Fbxo9	44.0
ENSMUSG00000001376	Vps50	39.55
ENSMUSG00000001380	Hars	44.1
ENSMUSG00000001383	Zmat2	45.66
ENSMUSG00000001403	Ube2c	50.81
ENSMUSG00000001415	Smg5	49.12
ENSMUSG00000001416	Cct3	43.27
ENSMUSG00000001418	Glmp	51.68
ENSMUSG00000001419	Mef2d	52.66
ENSMUSG00000001420	Tmem79	51.49
ENSMUSG00000001424	Snd1	43.79
ENSMUSG00000001435	Col18a1	50.81
ENSMUSG00000001436	Slc19a1	52.38
ENSMUSG00000001440	Kpnb1	44.11
ENSMUSG00000001441	Npepps	41.18
ENSMUSG00000001444	Tbx21	48.47
ENSMUSG00000001445	Mrpl10	48.68
ENSMUSG00000001467	Cyp51	42.39
ENSMUSG00000001472	Tcf25	50.22
ENSMUSG00000001473	Tubb6	48.34
ENSMUSG00000001482	Def8	49.55
ENSMUSG00000001493	Meox1	51.14
ENSMUSG00000001494	Sost	55.62
ENSMUSG00000001496	Nkx2-1	58.61
ENSMUSG00000001497	Pax9	43.49
ENSMUSG00000001504	Irx2	54.25
ENSMUSG00000001506	Col1a1	53.92
ENSMUSG00000001507	Itga3	50.82
ENSMUSG00000001508	Sgca	50.93
ENSMUSG00000001510	Dlx3	55.54
ENSMUSG00000001517	Foxm1	50.28
ENSMUSG00000001518	Itfg2	47.25
ENSMUSG00000001520	Nrip2	50.09
ENSMUSG00000001521	Tulp3	46.91
ENSMUSG00000001524	Gtf2h4	52.46
ENSMUSG00000001525	Tubb5	51.62
ENSMUSG00000001542	Ell2	40.06
ENSMUSG00000001552	Jup	52.25
ENSMUSG00000001555	Fkbp10	52.02
ENSMUSG00000001558	Klhl10	46.03
ENSMUSG00000001566	Mnx1	54.09
ENSMUSG00000001569	Nom1	44.93
ENSMUSG00000001576	Ergic1	50.43
ENSMUSG00000001583	Tnk1	52.86
ENSMUSG00000001588	Acap1	49.9
ENSMUSG00000001604	Tcea3	49.96
ENSMUSG00000001622	Csn3	34.15
ENSMUSG00000001627	Ifrd1	41.54
ENSMUSG00000001630	Stk38l	42.34
ENSMUSG00000001632	Brpf1	48.33
ENSMUSG00000001642	Akr1b3	49.81
ENSMUSG00000001655	Hoxc13	47.74
ENSMUSG00000001656	Hoxc11	57.1
ENSMUSG00000001657	Hoxc8	50.16
ENSMUSG00000001661	Hoxc6	49.24
ENSMUSG00000001663	Gstt1	46.62
ENSMUSG00000001665	Gstt3	49.12
ENSMUSG00000001666	Ddt	53.32
ENSMUSG00000001670	Tat	45.34
ENSMUSG00000001672	Marveld3	48.8
ENSMUSG00000001674	Ddx18	46.3
ENSMUSG00000001687	Ubl3	42.33
ENSMUSG00000001700	Gramd3	43.58
ENSMUSG00000001707	Eef1e1	44.24
ENSMUSG00000001729	Akt1	57.7
ENSMUSG00000001739	Cldn15	51.6
ENSMUSG00000001741	Il16	45.12
ENSMUSG00000001750	Tcirg1	53.89
ENSMUSG00000001751	Naglu	53.06
ENSMUSG00000001755	Coasy	55.44
ENSMUSG00000001761	Smo	48.36
ENSMUSG00000001763	Tspan33	48.29
ENSMUSG00000001767	Crnkl1	43.23
ENSMUSG00000001768	Rin2	44.91
ENSMUSG00000001773	Folh1	35.36
ENSMUSG00000001774	Chordc1	37.71
ENSMUSG00000001783	Rtcb	43.68
ENSMUSG00000001785	Pwp1	44.02
ENSMUSG00000001786	Fbxo7	42.16
ENSMUSG00000001794	Capns1	50.01
ENSMUSG00000001802	Lrp3	54.68
ENSMUSG00000001804	Dsg4	40.54
ENSMUSG00000001815	Evx2	50.78
ENSMUSG00000001819	Hoxd13	46.17
ENSMUSG00000001823	Hoxd12	54.21
ENSMUSG00000001827	Folr1	46.35
ENSMUSG00000001829	Clpb	46.32
ENSMUSG00000001833	Septin7	35.94
ENSMUSG00000001844	Zdhhc4	49.8
ENSMUSG00000001847	Rac1	47.12
ENSMUSG00000001855	Nup214	45.88
ENSMUSG00000001864	Aif1l	52.11
ENSMUSG00000001865	Cpa3	37.4
ENSMUSG00000001870	Ltbp1	42.66
ENSMUSG00000001891	Ugp2	39.6
ENSMUSG00000001901	Kcnh6	50.92
ENSMUSG00000001909	Trmt1	51.34
ENSMUSG00000001910	Nacc1	50.66
ENSMUSG00000001911	Nfix	53.14
ENSMUSG00000001918	Slc1a5	50.63
ENSMUSG00000001924	Uba1	46.94
ENSMUSG00000001930	Vwf	48.13
ENSMUSG00000001942	Siae	42.36
ENSMUSG00000001943	Vsig2	48.76
ENSMUSG00000001946	Esam	48.41
ENSMUSG00000001948	Spa17	38.21
ENSMUSG00000001962	Fam50a	48.98
ENSMUSG00000001964	Emd	46.56
ENSMUSG00000001983	Taco1	46.69
ENSMUSG00000001985	Grik3	50.31
ENSMUSG00000001986	Gria3	38.76
ENSMUSG00000001988	Npas1	52.76
ENSMUSG00000001995	Sipa1l2	49.31
ENSMUSG00000001998	Ap4e1	41.28
ENSMUSG00000001999	Blvra	44.0
ENSMUSG00000002006	Pdzd4	45.8
ENSMUSG00000002007	Srpk3	53.68
ENSMUSG00000002010	Idh3g	47.41
ENSMUSG00000002012	Pnck	57.25
ENSMUSG00000002014	Ssr4	50.96
ENSMUSG00000002015	Bcap31	43.49
ENSMUSG00000002017	Fam98a	42.35
ENSMUSG00000002020	Ltbp2	49.92
ENSMUSG00000002028	Kmt2a	45.68
ENSMUSG00000002031	Ift46	45.24
ENSMUSG00000002032	Tmem25	52.41
ENSMUSG00000002033	Cd3g	44.36
ENSMUSG00000002043	Trappc6a	52.91
ENSMUSG00000002052	Supt6	46.39
ENSMUSG00000002055	Spag5	45.73
ENSMUSG00000002057	Foxn1	52.41
ENSMUSG00000002058	Unc119	56.47
ENSMUSG00000002059	Rab34	56.64
ENSMUSG00000002064	Sdf2	44.57
ENSMUSG00000002068	Ccne1	47.45
ENSMUSG00000002076	Hsf2bp	44.67
ENSMUSG00000002083	Bbc3	57.65
ENSMUSG00000002100	Mybpc3	53.08
ENSMUSG00000002102	Psmc3	51.95
ENSMUSG00000002103	Acp2	45.84
ENSMUSG00000002104	Rapsn	50.3
ENSMUSG00000002105	Slc39a13	53.74
ENSMUSG00000002107	Celf2	40.13
ENSMUSG00000002108	Nr1h3	46.51
ENSMUSG00000002109	Ddb2	42.01
ENSMUSG00000002111	Spi1	49.89
ENSMUSG00000002129	Sf3a1	46.56
ENSMUSG00000002147	Stat6	50.23
ENSMUSG00000002190	Clgn	44.3
ENSMUSG00000002204	Napsa	47.77
ENSMUSG00000002205	Vrk3	49.01
ENSMUSG00000002210	Smg9	52.74
ENSMUSG00000002221	Paxip1	46.06
ENSMUSG00000002222	Rmnd5a	40.99
ENSMUSG00000002227	Mov10	48.62
ENSMUSG00000002228	Ppm1j	55.89
ENSMUSG00000002233	Rhoc	55.27
ENSMUSG00000002240	Prr27	37.71
ENSMUSG00000002249	Tead3	56.36
ENSMUSG00000002250	Ppard	52.89
ENSMUSG00000002257	Def6	50.73
ENSMUSG00000002265	Peg3	44.95
ENSMUSG00000002266	Zim1	43.87
ENSMUSG00000002274	Metrn	57.35
ENSMUSG00000002279	Lmf1	51.67
ENSMUSG00000002280	Ciao3	54.7
ENSMUSG00000002289	Angptl4	49.02
ENSMUSG00000002297	Dbf4	39.01
ENSMUSG00000002307	Daxx	53.62
ENSMUSG00000002308	Cd320	49.84
ENSMUSG00000002319	Ipo4	54.41
ENSMUSG00000002320	Tm9sf1	48.75
ENSMUSG00000002324	Rec8	52.05
ENSMUSG00000002325	Irf9	50.48
ENSMUSG00000002326	Gmpr2	43.87
ENSMUSG00000002329	Mdp1	48.52
ENSMUSG00000002332	Dhrs1	49.3
ENSMUSG00000002341	Ncan	50.75
ENSMUSG00000002342	Tmem161a	51.57
ENSMUSG00000002343	Armc6	49.74
ENSMUSG00000002345	Borcs8	51.16
ENSMUSG00000002346	Slc25a42	50.79
ENSMUSG00000002365	Snx9	47.21
ENSMUSG00000002372	Ranbp3	51.62
ENSMUSG00000002379	Ndufa11	55.31
ENSMUSG00000002384	Bmp8b	51.54
ENSMUSG00000002393	Nr2f6	59.82
ENSMUSG00000002395	Use1	54.63
ENSMUSG00000002396	Ocel1	56.76
ENSMUSG00000002409	Dyrk1b	58.19
ENSMUSG00000002413	Braf	38.7
ENSMUSG00000002416	Ndufb2	44.57
ENSMUSG00000002428	Hltf	38.41
ENSMUSG00000002455	Prpf6	44.0
ENSMUSG00000002458	Rgs19	53.91
ENSMUSG00000002459	Rgs20	41.08
ENSMUSG00000002475	Abhd3	41.08
ENSMUSG00000002477	Snrpd1	42.17
ENSMUSG00000002486	Tchp	53.74
ENSMUSG00000002489	Tiam1	47.65
ENSMUSG00000002496	Tsc2	52.47
ENSMUSG00000002500	Rpl3l	50.56
ENSMUSG00000002504	Slc9a3r2	56.2
ENSMUSG00000002524	Puf60	54.34
ENSMUSG00000002546	Golga2	51.59
ENSMUSG00000002550	Uck1	55.8
ENSMUSG00000002565	Scin	40.33
ENSMUSG00000002578	Ikzf4	47.46
ENSMUSG00000002580	Mien1	54.21
ENSMUSG00000002588	Pon1	43.3
ENSMUSG00000002602	Axl	50.35
ENSMUSG00000002603	Tgfb1	51.08
ENSMUSG00000002608	Ccdc97	53.23
ENSMUSG00000002617	Zfp40	36.73
ENSMUSG00000002625	Akap8l	45.87
ENSMUSG00000002633	Shh	55.67
ENSMUSG00000002635	Pdcd2l	46.76
ENSMUSG00000002658	Gtf2f1	51.22
ENSMUSG00000002660	Clpp	50.76
ENSMUSG00000002661	Alkbh7	54.89
ENSMUSG00000002664	Pspn	58.36
ENSMUSG00000002668	Dennd1c	50.49
ENSMUSG00000002679	Med6	40.58
ENSMUSG00000002688	Prkd1	39.21
ENSMUSG00000002699	Lcp2	44.94
ENSMUSG00000002718	Cse1l	42.76
ENSMUSG00000002728	Naa20	42.17
ENSMUSG00000002731	Prkra	42.86
ENSMUSG00000002732	Fkbp7	40.84
ENSMUSG00000002733	Plekha3	44.29
ENSMUSG00000002741	Ykt6	47.93
ENSMUSG00000002748	Baz1b	43.16
ENSMUSG00000002763	Pex6	53.43
ENSMUSG00000002767	Mrpl2	49.68
ENSMUSG00000002768	Mea1	54.64
ENSMUSG00000002769	Gnmt	53.24
ENSMUSG00000002771	Grin2d	52.01
ENSMUSG00000002778	Kdelr1	49.36
ENSMUSG00000002781	Tmem143	50.09
ENSMUSG00000002791	Pdxk-ps	50.58
ENSMUSG00000002797	Ggct	43.86
ENSMUSG00000002799	Jag2	59.59
ENSMUSG00000002803	Btbd6	58.85
ENSMUSG00000002804	Nudt14	54.67
ENSMUSG00000002808	Epdr1	40.58
ENSMUSG00000002812	Flii	54.04
ENSMUSG00000002814	Top3a	45.35
ENSMUSG00000002820	Atg4d	51.54
ENSMUSG00000002825	Qtrt1	51.14
ENSMUSG00000002831	Plin4	55.19
ENSMUSG00000002833	Hdgfl2	49.89
ENSMUSG00000002835	Chaf1a	48.58
ENSMUSG00000002844	Adprh	48.95
ENSMUSG00000002845	Tmem39a	42.06
ENSMUSG00000002846	Timmdc1	45.02
ENSMUSG00000002847	Pla1a	45.28
ENSMUSG00000002870	Mcm2	51.93
ENSMUSG00000002871	Tpra1	55.51
ENSMUSG00000002881	Nab1	41.06
ENSMUSG00000002885	Adgre5	50.98
ENSMUSG00000002897	Il17ra	49.53
ENSMUSG00000002900	Lamb1	45.81
ENSMUSG00000002908	Kcnn1	54.3
ENSMUSG00000002910	Arrdc2	54.86
ENSMUSG00000002930	Ppp1r17	43.81
ENSMUSG00000002944	Cd36	37.16
ENSMUSG00000002948	Map2k7	54.41
ENSMUSG00000002949	Timm44	48.06
ENSMUSG00000002957	Ap2a2	47.67
ENSMUSG00000002963	Pnkp	55.55
ENSMUSG00000002968	Med25	54.75
ENSMUSG00000002980	Bcam	53.87
ENSMUSG00000002981	Clptm1	50.59
ENSMUSG00000002983	Relb	49.94
ENSMUSG00000002984	Tomm40	51.8
ENSMUSG00000002985	Apoe	54.64
ENSMUSG00000002992	Apoc2	53.83
ENSMUSG00000002996	Hbp1	40.21
ENSMUSG00000002997	Prkar2b	42.71
ENSMUSG00000003031	Cdkn1b	43.81
ENSMUSG00000003032	Klf4	52.76
ENSMUSG00000003033	Ap1m1	51.96
ENSMUSG00000003037	Rab8a	49.27
ENSMUSG00000003038	Hmgn2	52.59
ENSMUSG00000003039	Fam32a	49.22
ENSMUSG00000003051	Elf3	54.75
ENSMUSG00000003053	Cyp2c29	37.35
ENSMUSG00000003062	Stard3nl	42.85
ENSMUSG00000003068	Stk11	55.15
ENSMUSG00000003070	Efna2	55.51
ENSMUSG00000003072	Atp5d	55.93
ENSMUSG00000003099	Ppp5c	52.91
ENSMUSG00000003119	Cdk12	39.95
ENSMUSG00000003123	Lipe	52.42
ENSMUSG00000003131	Pafah1b2	44.08
ENSMUSG00000003134	Tbc1d8	47.3
ENSMUSG00000003135	Cnot11	45.97
ENSMUSG00000003153	Slc2a3	45.39
ENSMUSG00000003154	Foxj2	49.31
ENSMUSG00000003161	Sri	42.84
ENSMUSG00000003166	Dgcr2	46.9
ENSMUSG00000003184	Irf3	53.76
ENSMUSG00000003190	Bcl2l12	53.16
ENSMUSG00000003198	Zfp959	39.45
ENSMUSG00000003199	Mpnd	51.53
ENSMUSG00000003200	Sh3gl1	53.58
ENSMUSG00000003206	Ebi3	51.36
ENSMUSG00000003208	Yju2	52.88
ENSMUSG00000003226	Ranbp2	37.16
ENSMUSG00000003227	Edar	47.66
ENSMUSG00000003228	Grk5	43.6
ENSMUSG00000003233	Dvl3	51.45
ENSMUSG00000003234	Abcf3	47.96
ENSMUSG00000003235	Eif2b5	48.22
ENSMUSG00000003269	Cyth2	55.27
ENSMUSG00000003271	Sult2b1	49.4
ENSMUSG00000003273	Car11	55.52
ENSMUSG00000003279	Dlgap1	41.58
ENSMUSG00000003282	Plag1	39.19
ENSMUSG00000003283	Hck	47.81
ENSMUSG00000003299	Mrpl4	51.39
ENSMUSG00000003308	Keap1	53.48
ENSMUSG00000003309	Ap1m2	48.39
ENSMUSG00000003316	Glg1	41.82
ENSMUSG00000003341	Atp8b3	54.32
ENSMUSG00000003344	Btbd2	55.69
ENSMUSG00000003345	Csnk1g2	55.64
ENSMUSG00000003346	Abhd17a	57.79
ENSMUSG00000003348	Mob3a	51.81
ENSMUSG00000003352	Cacnb3	56.19
ENSMUSG00000003354	Ccdc65	48.11
ENSMUSG00000003355	Fkbp11	52.54
ENSMUSG00000003360	Ddx23	50.34
ENSMUSG00000003363	Pld3	49.75
ENSMUSG00000003378	Grik5	51.49
ENSMUSG00000003379	Cd79a	52.27
ENSMUSG00000003380	Rabac1	55.88
ENSMUSG00000003382	Etv3	47.97
ENSMUSG00000003402	Prkcsh	53.91
ENSMUSG00000003410	Elavl3	50.42
ENSMUSG00000003411	Rab3b	45.34
ENSMUSG00000003418	St8sia6	40.77
ENSMUSG00000003420	Fcgrt	50.36
ENSMUSG00000003421	Nosip	50.28
ENSMUSG00000003423	Pih1d1	53.27
ENSMUSG00000003429	Rps11	54.73
ENSMUSG00000003435	Supt5	49.71
ENSMUSG00000003436	Dll3	53.73
ENSMUSG00000003437	Paf1	48.59
ENSMUSG00000003438	Timm50	53.97
ENSMUSG00000003444	Med29	51.27
ENSMUSG00000003452	Bicd1	37.2
ENSMUSG00000003458	Ncstn	46.95
ENSMUSG00000003464	Pex19	46.76
ENSMUSG00000003469	Phyhip	53.02
ENSMUSG00000003476	Crhr2	51.29
ENSMUSG00000003477	Inmt	51.24
ENSMUSG00000003484	Cyp4f18	46.81
ENSMUSG00000003500	Impdh1	53.52
ENSMUSG00000003505	Psg18	47.17
ENSMUSG00000003518	Dusp3	50.03
ENSMUSG00000003526	Prodh	51.19
ENSMUSG00000003527	Ess2	50.85
ENSMUSG00000003528	Slc25a1	59.26
ENSMUSG00000003531	Dgcr6	47.41
ENSMUSG00000003534	Ddr1	53.0
ENSMUSG00000003541	Ier3	54.52
ENSMUSG00000003545	Fosb	54.81
ENSMUSG00000003546	Klc4	51.74
ENSMUSG00000003549	Ercc1	52.67
ENSMUSG00000003555	Cyp17a1	50.4
ENSMUSG00000003559	As3mt	45.17
ENSMUSG00000003573	Homer3	53.45
ENSMUSG00000003575	Crtc1	53.17
ENSMUSG00000003581	Rnf215	54.46
ENSMUSG00000003585	Sec14l2	50.96
ENSMUSG00000003604	Aven	42.31
ENSMUSG00000003617	Cp	39.46
ENSMUSG00000003623	Crot	40.8
ENSMUSG00000003644	Rps6ka1	52.31
ENSMUSG00000003657	Calb2	48.98
ENSMUSG00000003660	Snrnp200	45.13
ENSMUSG00000003662	Ciao1	44.64
ENSMUSG00000003665	Has1	44.85
ENSMUSG00000003680	Taf6l	48.71
ENSMUSG00000003721	Insig2	42.61
ENSMUSG00000003731	Kpna6	45.62
ENSMUSG00000003746	Man1a	39.94
ENSMUSG00000003752	Itpkc	49.05
ENSMUSG00000003762	Coq8b	48.84
ENSMUSG00000003778	Brd8	42.14
ENSMUSG00000003779	Kif20a	46.89
ENSMUSG00000003808	Farsa	48.51
ENSMUSG00000003809	Gcdh	48.67
ENSMUSG00000003810	Mast2	40.52
ENSMUSG00000003812	Dnase2a	52.04
ENSMUSG00000003813	Rad23a	52.22
ENSMUSG00000003814	Calr	48.79
ENSMUSG00000003824	Syce2	45.12
ENSMUSG00000003847	Nfat5	38.09
